#MASS,A,PLANETDISCMETH
#mjupiter,au,
0.0607789,0.292189,Transit
0.0605767,0.0293274,Transit
0.0596201,0.199823,Transit
0.0592807,1.43442,Transit
0.0589738,0.129216,RV
0.0586489,0.0478684,Transit
0.058,0.165144,RV
0.0581875,0.185574,Transit
0.0580667,0.0522124,RV
0.0583181,0.381801,Transit
0.0576809,0.0739053,Transit
0.0577969,0.254502,Transit
0.0583181,0.221415,Transit
0.057999,0.146743,Transit
0.0573636,0.269138,Transit
0.0565295,0.249855,RV
0.0563373,0.627426,RV
0.0557908,0.0456151,Transit
0.056492,0.808381,Transit
0.0557908,0.423716,Transit
0.055479,0.0883216,Transit
0.0545024,0.118968,Transit
0.0548224,0.087412,Transit
0.0546827,0.0785237,RV
0.0544,0.0752115,Transit
0.0541479,0.189627,Transit
0.054117,0.239656,Transit
0.0537981,0.189725,Transit
0.0541479,0.125503,Transit
0.0537981,0.109294,Transit
0.0531258,0.322307,RV
0.0526382,0.12557,Transit
0.052931,0.102068,Transit
0.0525494,0.170752,Transit
0.0525568,0.0656127,Transit
0.0531048,0.0973508,Transit
0.0525296,0.213825,Transit
0.0515065,0.232191,Transit
0.051622,0.10464,Transit
0.0517963,0.16455,Transit
0.0520795,0.354508,Transit
0.0517963,0.0595534,Transit
0.051651,0.268681,RV
0.0516,0.117171,Transit
0.0509923,0.237122,RV
0.0509774,0.463328,RV
0.0507844,0.228139,RV
0.0503054,0.418342,Transit
0.0503054,0.18441,Transit
0.0504114,0.576836,Transit
0.0500833,0.412251,Transit
0.0495058,0.0930411,Transit
0.0499388,0.235841,Transit
0.0497576,0.146486,Transit
0.0498139,0.0612143,RV
0.0495748,0.405305,Transit
0.0499388,0.0598041,Transit
0.0499019,0.0406125,RV
0.048854,0.299193,Transit
0.0478436,0.339899,Transit
0.0475314,0.0633704,Transit
0.048011,0.18721,Transit
0.0481581,0.443078,Transit
0.0478721,0.0348576,Transit
0.0477376,0.119192,RV
0.0465014,0.104248,Transit
0.0469127,0.233437,Transit
0.0467496,0.141235,Transit
0.045968,0.0851485,Transit
0.0460671,0.318487,Transit
0.0463015,0.0990113,Transit
0.0463015,0.280136,Transit
0.045941,0.0558236,RV
0.0457295,0.161025,Transit
0.0445124,0.410606,Transit
0.0450611,0.271,Transit
0.0453941,0.407808,Transit
0.0448185,0.730436,RV
0.0440093,0.0356088,RV
0.0440759,0.0920746,Transit
0.044402,0.440508,Transit
0.0440759,0.155175,Transit
0.0437521,0.159318,Transit
0.0431113,0.340485,Transit
0.0427893,0.193788,Transit
0.0434306,0.0451092,Transit
0.0425085,0.0380552,Transit
0.0434306,0.252724,Transit
0.0422294,0.180811,Transit
0.0418568,0.133586,Transit
0.0419087,0.0859362,Transit
0.0418568,0.435925,Transit
0.0422294,0.0741975,Transit
0.0421671,0.0696812,Transit
0.0418568,0.123396,Transit
0.0419521,0.101523,Transit
0.0416764,0.0809437,RV
0.0415054,0.0641175,RV
0.0412178,0.335039,RV
0.0412428,0.628803,Transit
0.0409391,0.06755,Transit
0.0406377,0.129431,Transit
0.0412428,0.29908,Transit
0.0409391,1.13739,Transit
0.0409391,0.0509544,Transit
0.0409024,0.102439,Transit
0.0409024,0.304548,Transit
0.0405776,0.0854327,Transit
0.0403249,0.0781034,Transit
0.0403249,0.104337,Transit
0.0397965,0.050784,Transit
0.0397965,0.0352966,Transit
0.0397121,0.113189,Transit
0.0400599,0.112047,Transit
0.0400412,0.228204,Transit
0.0400599,0.203997,Transit
0.0400412,0.130567,Transit
0.0397121,0.0928723,Transit
0.04,3.41991,Microlensing
0.0397121,0.0581375,Transit
0.0397121,0.0902469,Transit
0.0397462,0.645826,Transit
0.0395346,0.269422,Transit
0.0391627,0.0413386,Transit
0.039229,0.333345,RV
0.0385876,0.103618,Transit
0.0385876,0.141962,Transit
0.0392746,0.156968,Transit
0.0385876,0.316103,Transit
0.0392746,0.271796,Transit
0.0388741,0.0619246,Transit
0.0383032,0.223648,Transit
0.038021,0.523825,Transit
0.0377408,0.165833,Transit
0.0383032,0.353488,Transit
0.0382517,0.146522,Transit
0.0383,0.0922129,Transit
0.0375018,0.0730543,Transit
0.0379597,0.140652,Transit
0.0380002,0.169831,Transit
0.0383032,0.392209,Transit
0.0378756,0.0652569,Transit
0.0376549,0.128581,RV
0.0377408,0.134386,Transit
0.03719,0.0784741,Transit
0.0367709,0.185072,RV
0.0365708,0.0712798,RV
0.0360464,0.117702,Transit
0.0363708,0.977788,Transit
0.0355731,0.0299103,Transit
0.0355742,0.263841,Transit
0.0355742,0.147469,Transit
0.0363708,0.160247,Transit
0.035557,0.185524,Transit
0.0350514,0.140655,Transit
0.0350514,0.151882,Transit
0.0350514,0.391589,Transit
0.0351084,0.242421,Transit
0.0345375,0.0674482,Transit
0.0348081,0.0768547,Transit
0.0347934,0.264915,Transit
0.0353405,0.0643964,Transit
0.0347934,0.19332,Transit
0.0346488,0.0685981,Transit
0.034879,0.0386657,RV
0.0345873,0.0927843,RV
0.0345375,0.363183,Transit
0.0345375,0.521537,Transit
0.0345375,0.168131,Transit
0.0340807,0.698075,RV
0.0341063,0.033677,Transit
0.0340314,0.0648523,Transit
0.0344212,0.124722,Transit
0.0340314,0.0673713,Transit
0.0341953,0.176495,Transit
0.0340314,0.189272,Transit
0.0340314,0.116763,Transit
0.0344212,0.28808,Transit
0.0344212,0.569736,Transit
0.0344212,0.373719,Transit
0.0337813,0.211879,Transit
0.0337813,0.070302,Transit
0.0341953,0.157474,Transit
0.0343,0.114456,Timing
0.0340314,0.399998,Transit
0.033876,0.0606753,RV
0.0337611,0.0780677,Transit
0.0335331,0.295668,Transit
0.0335331,0.0617018,Transit
0.0333747,0.216926,RV
0.0332233,0.465624,Transit
0.0330424,0.103068,Transit
0.032872,0.0636703,Transit
0.0330424,0.224449,Transit
0.0327999,0.17109,Transit
0.0325593,0.575052,Transit
0.0330424,0.0704248,Transit
0.0330424,0.11286,Transit
0.0333072,0.231966,Transit
0.0333072,0.212092,Transit
0.0328478,0.111348,Transit
0.0325593,0.24258,Transit
0.0325593,0.0781697,Transit
0.0325593,0.0420086,Transit
0.0320836,0.07255,Transit
0.0318107,0.247055,Transit
0.0320836,0.18795,Transit
0.0323205,0.366455,Transit
0.0318107,0.175473,Transit
0.0318486,0.600611,Transit
0.0318486,0.146374,Transit
0.0318486,0.432008,Transit
0.0316488,0.0781916,RV
0.0316029,0.323142,Transit
0.0313841,0.0587592,Transit
0.0313841,0.0735719,Transit
0.0311545,1.11079,Transit
0.0305853,0.0744302,Transit
0.0305282,0.0986522,Transit
0.0305195,0.127704,Transit
0.0309268,0.133676,Transit
0.0309252,0.179488,Transit
0.0309268,0.048077,Transit
0.0307009,0.206202,Transit
0.0307009,0.569779,Transit
0.0305853,0.0778294,Transit
0.0304768,0.463098,Transit
0.0304768,0.989603,Transit
0.0305282,0.118876,Transit
0.0304768,0.167139,Transit
0.0304768,0.0994208,Transit
0.0302544,0.170471,Transit
0.0302544,0.584174,Transit
0.0299917,0.135013,Transit
0.029598,0.0482761,Transit
0.0302544,0.265793,Transit
0.0300338,0.569703,Transit
0.0300338,0.113114,Transit
0.0303861,0.290701,Transit
0.0303861,0.0645963,Transit
0.0299365,0.221868,Transit
0.0302544,0.373544,Transit
0.0297967,0.0487958,Transit
0.029815,0.062026,Transit
0.029815,0.202661,Transit
0.0296032,0.271972,Transit
0.0296032,0.142982,Transit
0.029598,0.111348,Transit
0.0295756,0.101317,Transit
0.0293826,0.891311,Transit
0.029411,0.246495,Transit
0.0291691,0.139845,Transit
0.0291691,0.987284,Transit
0.0291691,0.112106,Transit
0.0292202,0.353393,Transit
0.0292202,0.161331,Transit
0.0287348,0.0511881,Transit
0.028747,0.148109,Transit
0.0286557,0.205538,Transit
0.0288426,0.0877115,Transit
0.0289572,0.0217143,Transit
0.0290307,0.192408,Transit
0.0290307,0.0640814,Transit
0.0288426,0.161192,Transit
0.0286557,0.235528,Transit
0.028747,0.0284473,Transit
0.028747,0.121097,Transit
0.028747,0.629,Transit
0.028747,0.147513,Transit
0.0285386,0.143439,Transit
0.0285386,0.136122,Transit
0.0285413,1.02111,RV
0.0283318,0.126522,Transit
0.0283318,0.114843,Transit
0.0283318,0.161056,Transit
0.0280968,0.116059,Transit
0.0281036,0.109494,Transit
0.028076,0.132422,RV
0.0281036,0.325549,Transit
0.0281267,0.390823,Transit
0.0281354,0.118715,RV
0.0281267,0.0575639,Transit
0.0275635,0.119895,Transit
0.0281036,0.162163,Transit
0.0282863,0.0527986,Transit
0.0275635,0.281042,Transit
0.0279223,0.217522,Transit
0.0281267,0.0915122,Transit
0.0279223,0.120241,Transit
0.0281267,0.316935,Transit
0.0281036,0.140591,Transit
0.0277215,0.0670648,Transit
0.0277215,0.127324,Transit
0.0279233,0.0619532,Transit
0.0279233,0.0796567,Transit
0.0277215,0.0807229,Transit
0.0277215,0.384289,Transit
0.0275635,0.131447,Transit
0.0275214,0.0801169,Transit
0.0275214,0.386292,Transit
0.0273647,0.0566417,RV
0.0273861,0.214468,Transit
0.027323,0.0878909,Transit
0.027323,0.0670296,Transit
0.0272098,0.0668155,Transit
0.0271261,0.113545,Transit
0.0271261,0.475522,Transit
0.0271261,0.741774,Transit
0.0271261,0.284276,Transit
0.0271261,0.100056,Transit
0.0271261,0.223973,Transit
0.0271261,0.0821845,Transit
0.027035,0.236039,Transit
0.0265182,0.117913,Transit
0.0266892,0.0905121,Transit
0.0271261,0.127487,Transit
0.0273861,0.141525,Transit
0.0271261,0.185149,Transit
0.0269309,0.0610151,Transit
0.0268614,0.245507,Transit
0.0268039,0.0428543,RV
0.0267728,0.117046,Transit
0.0267373,0.213368,Transit
0.0267373,0.270303,Transit
0.0267373,0.471386,Transit
0.0266646,0.0453704,Transit
0.026473,0.267621,Transit
0.0265453,0.140972,Transit
0.0265453,0.451946,Transit
0.0263672,0.0154393,RV
0.0263549,0.0755268,Transit
0.0264312,0.19466,Transit
0.0263549,0.127733,Transit
0.0262555,0.164916,RV
0.0261661,0.0420644,Transit
0.0261661,0.164368,Transit
0.026183,0.0617749,Transit
0.026078,0.118441,Transit
0.0259788,0.0945351,Transit
0.0260126,0.0540172,Transit
0.0263549,0.370933,Transit
0.0256089,0.0789397,Transit
0.0259788,0.0969435,Transit
0.0255184,0.138715,Transit
0.0260126,0.307572,Transit
0.0259969,0.0656822,RV
0.0261659,0.125499,Transit
0.0259788,0.20765,Transit
0.0258466,0.229287,Transit
0.0260126,0.490824,Transit
0.0257931,0.185207,Transit
0.0257931,0.382908,Transit
0.0257931,0.515367,Transit
0.0258466,0.0355986,Transit
0.0258466,0.123078,Transit
0.0257931,0.169505,Transit
0.0258466,0.130568,Transit
0.0257473,0.127856,Transit
0.0256819,0.0623799,Transit
0.0256089,0.0417873,Transit
0.0256089,0.448737,Transit
0.0256089,0.390903,Transit
0.0256089,0.043728,Transit
0.0256089,0.210888,Transit
0.0256089,0.115768,Transit
0.025489,0.128401,Transit
0.0254263,0.0795658,Transit
0.0254263,0.519687,Transit
0.025337,0.142931,Transit
0.0252452,0.627489,Transit
0.0252452,0.152252,Transit
0.025195,0.0643363,Transit
0.0252452,0.0656375,Transit
0.0252452,0.144301,Transit
0.0252452,0.28584,Transit
0.0251535,0.109809,Transit
0.0252452,0.120507,Transit
0.0252452,0.0874713,Transit
0.0252452,0.181834,Transit
0.0250657,0.101967,Transit
0.0250657,0.150552,Transit
0.0250657,0.204059,Transit
0.0248763,0.146843,Transit
0.0253561,0.0536941,Transit
0.0252452,0.0589428,Transit
0.025195,0.0882572,Transit
0.0249941,0.136705,Transit
0.0247188,0.114376,Transit
0.0248402,0.113438,RV
0.0247188,0.224576,Transit
0.0247111,0.307074,Transit
0.0247111,0.153888,Transit
0.0247111,0.0608921,Transit
0.024739,0.0796373,RV
0.0247111,0.263744,Transit
0.0246907,0.104299,Transit
0.0245625,0.0433417,Transit
0.0245625,0.12769,Transit
0.0245625,0.0553921,Transit
0.0245625,0.0673847,Transit
0.024536,0.20001,Transit
0.024536,0.127527,Transit
0.024536,0.239214,Transit
0.0245229,0.119982,Transit
0.024536,0.369378,Transit
0.0243824,0.470207,RV
0.0244074,0.557119,Transit
0.0244232,0.135169,Transit
0.0243624,0.272969,Transit
0.0243624,0.108362,Transit
0.0242535,0.195273,Transit
0.0241903,0.0890998,Transit
0.0241903,0.119195,Transit
0.0241903,0.0466887,Transit
0.0241903,0.115101,Transit
0.0241007,0.52792,Transit
0.0244074,0.373844,Transit
0.0240196,0.440295,Transit
0.0236865,0.345324,Transit
0.0240196,0.375175,Transit
0.0240196,0.0328963,Transit
0.0240196,0.618691,Transit
0.0240044,0.0635202,RV
0.0244074,0.140842,Transit
0.0236121,0.105496,Transit
0.0240196,0.126633,Transit
0.0240196,0.037917,Transit
0.0236491,0.0790333,Transit
0.0240196,0.0778725,Transit
0.0240196,0.143067,Transit
0.0240196,0.182625,Transit
0.0240196,0.274559,Transit
0.0235009,0.223972,Transit
0.0239491,0.117153,Transit
0.0238786,0.19394,RV
0.0238504,0.102064,Transit
0.0238504,0.132223,Transit
0.0238504,0.246742,Transit
0.0239033,0.0600137,RV
0.0239491,0.13337,Transit
0.0238504,0.0949095,Transit
0.0238504,0.439185,Transit
0.0237984,0.258138,Transit
0.0236826,0.0665428,Transit
0.0236826,0.0372128,Transit
0.0236826,0.148827,Transit
0.0237331,0.0800943,RV
0.0235009,0.135451,Transit
0.0235163,0.0314856,Transit
0.0235009,0.15002,Transit
0.0235163,0.153993,Transit
0.0235163,0.101821,Transit
0.0235009,0.105752,Transit
0.0233514,0.173489,Transit
0.0233514,0.0855774,Transit
0.0233538,0.139343,Transit
0.0233514,0.151158,Transit
0.0233514,0.0609811,Transit
0.0232079,0.420626,Transit
0.0232079,0.126914,Transit
0.0231879,0.148956,Transit
0.0232079,0.189511,Transit
0.0231879,0.208178,Transit
0.0231879,0.113697,Transit
0.0230631,0.209877,Transit
0.0230257,0.192248,Transit
0.0229933,0.146332,RV
0.022635,0.0911035,Transit
0.0229193,0.26808,Transit
0.0230941,0.072684,Transit
0.0233176,0.0905953,Transit
0.0230631,0.0518456,Transit
0.0229683,0.154764,Transit
0.0234642,0.0932375,Transit
0.0230257,0.254946,Transit
0.0229193,0.0887283,Transit
0.0227766,0.090395,Transit
0.0227766,0.196459,Transit
0.0227057,0.0750455,Transit
0.0227057,0.352794,Transit
0.0227057,0.122141,Transit
0.0227057,0.0907073,Transit
0.0227057,0.220779,Transit
0.0227057,0.0998849,Transit
0.0226759,0.0962142,Transit
0.0227057,0.5527,Transit
0.022635,0.0910907,Transit
0.0226353,0.281824,Transit
0.022635,0.0964797,Transit
0.0225477,0.0752791,Transit
0.0224877,0.0608369,RV
0.0225477,0.406917,Transit
0.0225477,0.513692,Transit
0.0223911,0.0923527,Transit
0.0223911,0.610956,Transit
0.0223552,0.301339,Transit
0.0223911,0.0796733,Transit
0.0223552,0.128062,Transit
0.0223911,0.264783,Transit
0.0224237,0.0588328,Transit
0.0223911,0.103659,Transit
0.0223552,0.0702822,Transit
0.0222358,0.170669,Transit
0.0222358,0.07692,Transit
0.0222358,0.552567,Transit
0.0221881,0.0286881,RV
0.0221838,0.128069,Transit
0.0222358,0.0645109,Transit
0.0222358,0.268995,Transit
0.0222358,0.481868,Transit
0.0222358,0.161485,Transit
0.0220818,0.170628,Transit
0.0220818,0.218278,Transit
0.0220818,0.0510769,Transit
0.0220818,0.111023,Transit
0.0220818,0.165053,Transit
0.0224607,0.0598092,Transit
0.0222169,0.216407,Transit
0.022,0.0447299,Transit
0.0222169,0.050414,Transit
0.0218083,0.288618,Transit
0.0220797,0.109272,Transit
0.022,0.0788018,Transit
0.0218083,0.127191,Transit
0.0224946,0.20564,Transit
0.0222169,0.217013,Transit
0.0223552,0.170712,Transit
0.0216742,0.0682408,Transit
0.0218083,0.128672,Transit
0.0223552,0.0690438,Transit
0.0219292,0.136873,Transit
0.0219292,0.282775,Transit
0.0219292,0.0590575,Transit
0.0219292,0.216804,Transit
0.021778,0.587421,Transit
0.0218083,0.10246,Transit
0.0218083,0.0946763,Transit
0.021778,0.297893,Transit
0.021778,0.048527,Transit
0.021778,0.0718867,Transit
0.021778,0.101644,Transit
0.021778,0.252883,Transit
0.0216742,0.186396,Transit
0.021628,0.266647,Transit
0.021628,0.0663298,Transit
0.021628,0.423643,Transit
0.021628,0.0866835,Transit
0.021628,0.0801106,Transit
0.021628,0.0878919,Transit
0.021628,0.0364157,Transit
0.021628,0.172447,Transit
0.0215859,0.0951314,Transit
0.0215524,0.125354,RV
0.0214793,0.12272,Transit
0.0214793,0.0563265,Transit
0.0215411,0.0925387,Transit
0.0214793,0.149715,Transit
0.0214793,0.487186,Transit
0.0214793,0.0543472,Transit
0.0214793,0.176326,Transit
0.0215411,0.0708347,Transit
0.0215411,0.144132,Transit
0.0214237,0.0685234,Transit
0.0214091,0.260742,Transit
0.0213319,0.299693,Transit
0.0213319,0.23121,Transit
0.0213319,0.191192,Transit
0.0212781,0.0712147,Transit
0.0213319,0.0512901,Transit
0.0213319,0.135465,Transit
0.0213319,0.22955,Transit
0.0213319,0.12941,Transit
0.0213319,0.0553537,Transit
0.0212781,0.129538,Transit
0.0213319,0.0505771,Transit
0.0212781,0.136253,Transit
0.0213284,0.19095,Transit
0.0212289,0.0874937,Transit
0.0211858,0.167537,Transit
0.0211468,0.0800702,RV
0.0207641,0.13095,Transit
0.0213883,0.0909691,Transit
0.0210409,0.0468593,Transit
0.0208911,0.106865,Transit
0.0210192,0.0796077,Transit
0.0210192,0.15349,Transit
0.0210409,0.141438,Transit
0.0210409,0.0973596,Transit
0.0206381,0.0897811,Transit
0.0210192,0.122502,Transit
0.0210192,0.0349126,Transit
0.0210192,0.219317,Transit
0.0208973,0.0466872,Transit
0.0208973,0.48095,Transit
0.0208973,0.0918185,Transit
0.0208973,0.0543959,Transit
0.0208973,0.146166,Transit
0.0208973,0.160616,Transit
0.020855,0.0465952,RV
0.0208911,0.178021,Transit
0.0208973,0.114939,Transit
0.0208973,0.260643,Transit
0.0208911,0.0846204,Transit
0.0208911,0.221179,Transit
0.020755,0.0318315,Transit
0.0208189,0.205364,Transit
0.0208339,0.122878,Transit
0.0207641,0.325506,Transit
0.0208212,0.0892579,RV
0.020755,0.0893266,Transit
0.020755,0.172254,Transit
0.0206139,0.0797776,Transit
0.0206139,0.254302,Transit
0.0206139,0.0821049,Transit
0.0206139,0.169412,Transit
0.0206139,0.122576,Transit
0.0206139,0.0935706,Transit
0.0206381,0.38452,Transit
0.020474,0.078486,Transit
0.020474,0.204258,Transit
0.0205131,0.0749207,Transit
0.020474,0.102896,Transit
0.0205131,0.213635,Transit
0.0205131,0.198382,Transit
0.020474,0.069764,Transit
0.020474,0.0317534,Transit
0.020474,0.672832,Transit
0.0205131,0.0421675,Transit
0.020474,0.235594,Transit
0.020474,0.230006,Transit
0.0203863,0.243344,Transit
0.0204069,0.0445373,Transit
0.0203801,0.155066,RV
0.0203507,0.0143253,Transit
0.0202659,0.123783,Transit
0.0202659,0.369989,Transit
0.0202659,0.17147,Transit
0.0203354,0.120447,Transit
0.0203354,0.155326,Transit
0.0203354,0.0291019,Transit
0.0201979,0.225432,Transit
0.0201979,0.262112,Transit
0.0201979,0.231343,Transit
0.0201979,0.31971,Transit
0.0201979,0.0849622,Transit
0.0201979,0.127028,Transit
0.0201979,0.538652,Transit
0.0201979,0.156872,Transit
0.0201979,0.217045,Transit
0.0201979,0.0955953,Transit
0.0201366,0.67057,Timing
0.0200617,0.30753,Transit
0.0200617,0.508596,Transit
0.0200617,0.0561729,Transit
0.019544,0.070282,Transit
0.0200181,0.0629202,RV
0.0201438,0.106878,Transit
0.0192003,0.154824,Transit
0.0200225,0.115842,Transit
0.0200225,0.254528,Transit
0.020389,0.0994986,Transit
0.0195472,0.184825,Transit
0.0202381,0.105629,Transit
0.0200225,0.118208,Transit
0.020389,0.102029,Transit
0.019783,0.170666,Transit
0.0200225,0.118876,Transit
0.0196646,0.138108,Transit
0.0199792,0.0361437,Transit
0.0202381,0.07889,Transit
0.0199094,0.0597996,Transit
0.0199266,0.076064,Transit
0.0199023,0.283685,Transit
0.0199023,0.151991,Transit
0.0199266,0.0436851,Transit
0.0197927,0.07385,Transit
0.019783,0.436563,Transit
0.0197987,0.08911,RV
0.019783,0.287238,Transit
0.01966,0.238093,Transit
0.01966,0.272889,Transit
0.01966,0.122745,Transit
0.01966,0.100456,Transit
0.01966,0.0915102,Transit
0.01966,0.218893,Transit
0.0196646,0.355666,Transit
0.01966,0.143843,Transit
0.01966,0.157366,Transit
0.0196646,0.422434,Transit
0.0195285,0.0502867,Transit
0.0195285,0.243116,Transit
0.0195285,0.443519,Transit
0.0195285,0.11183,Transit
0.0195472,0.226833,Transit
0.0195285,0.179399,Transit
0.0195472,0.240693,Transit
0.0195285,0.0396151,Transit
0.0194307,0.0634611,Transit
0.019398,0.130853,Transit
0.019398,0.108438,Transit
0.019398,0.0738933,Transit
0.019398,0.140349,Transit
0.0192688,0.137663,Transit
0.0192688,1.19049,Transit
0.0192688,0.359829,Transit
0.019315,0.063917,Transit
0.0192918,0.0533524,Transit
0.01935,0.0500668,Transit
0.0192688,0.137136,Transit
0.0192688,0.601409,Transit
0.019315,0.131044,Transit
0.019315,0.264081,Transit
0.019315,0.0600193,Transit
0.0192003,0.170313,Transit
0.0191242,0.0889028,Transit
0.0190864,0.184674,Transit
0.0191406,0.125668,Transit
0.0191406,0.164164,Transit
0.0191406,0.188407,Transit
0.0191406,0.0505272,Transit
0.0191406,0.109579,Transit
0.0190864,0.0625614,Transit
0.0190136,0.122792,Transit
0.0194307,0.0689878,Transit
0.0186,0.183622,Timing
0.0190136,0.0318646,Transit
0.0185304,0.275493,Transit
0.0185304,0.142858,Transit
0.0192896,0.0871504,Transit
0.0188372,0.153688,Transit
0.0185071,0.0800144,Transit
0.0188614,0.0783205,Transit
0.019315,0.0596916,Transit
0.0189734,0.112199,Transit
0.019315,0.401368,Transit
0.019315,0.256083,Transit
0.0188877,0.0437251,Transit
0.0188614,0.207581,Transit
0.0188877,0.181954,Transit
0.0188614,0.0813349,Transit
0.0188877,0.259117,Transit
0.0188614,0.203039,Transit
0.0189,0.272969,Transit
0.0188877,0.0902152,Transit
0.0187628,0.0657805,Transit
0.0187628,0.0554099,Transit
0.0187628,0.0479468,Transit
0.0187628,0.0504222,Transit
0.0186391,0.0991034,Transit
0.0186399,0.0844802,Transit
0.0186391,0.0842697,Transit
0.0186391,0.146185,Transit
0.0186399,0.254259,Transit
0.0186399,0.124306,Transit
0.0185304,0.182918,Transit
0.0185165,0.0634219,Transit
0.0185165,0.0538618,Transit
0.0185165,0.0271739,Transit
0.0183949,0.107866,Transit
0.0184218,0.387942,Transit
0.0183949,0.121899,Transit
0.0183949,0.0747518,Transit
0.0184193,0.0208066,RV
0.0183949,0.0861587,Transit
0.0183949,0.118853,Transit
0.0183949,0.079369,Transit
0.0184218,0.192566,Transit
0.0183949,0.0395795,Transit
0.0184218,0.0657332,Transit
0.0182743,0.253589,Transit
0.0183345,0.848513,Transit
0.0182743,0.0626755,Transit
0.0182743,0.0962449,Transit
0.0182743,0.174156,Transit
0.0183139,0.0916828,Transit
0.0182069,0.0689299,Transit
0.0181548,0.125924,Transit
0.0181548,0.166307,Transit
0.0181548,0.261363,Transit
0.0181548,0.131197,Transit
0.0181548,0.0885967,Transit
0.0181548,0.274894,Transit
0.0182069,0.147443,Transit
0.0181548,0.312713,Transit
0.0181548,0.284051,Transit
0.0181548,0.059689,Transit
0.0181548,0.107239,Transit
0.0181548,0.270063,Transit
0.0181986,0.0580371,RV
0.0181548,0.174358,Transit
0.0181548,0.175021,Transit
0.0182069,0.0506571,Transit
0.0181548,0.0877495,Transit
0.0181548,0.159985,Transit
0.0181548,0.03015,Transit
0.0182069,0.123186,Transit
0.0181548,0.0863273,Transit
0.0181771,0.0214313,Transit
0.0181548,0.146649,Transit
0.0181008,0.080928,Transit
0.0180684,0.0738763,Transit
0.0180364,0.103279,Transit
0.0179955,0.0949212,Transit
0.0178911,0.0422983,Transit
0.0177874,0.106632,Transit
0.0177874,0.145838,Transit
0.0178911,0.0541452,Transit
0.0179955,0.0401669,Transit
0.0181008,0.0949568,Transit
0.0184218,0.0990643,Transit
0.0180364,0.295466,Transit
0.0179955,0.0732442,Transit
0.0179955,0.148181,Transit
0.0183139,0.206443,Transit
0.0178911,0.0506781,Transit
0.0179955,0.0762713,Transit
0.0176845,0.0794582,Transit
0.0183139,0.144846,Transit
0.017919,0.0633282,Transit
0.0178911,0.0629312,Transit
0.017919,0.124667,Transit
0.0178911,0.0558662,Transit
0.0178911,0.0926511,Transit
0.0178911,0.164238,Transit
0.017919,0.187771,Transit
0.0178026,0.115577,Transit
0.0178026,0.106598,Transit
0.0177875,0.558942,Transit
0.0178026,0.106621,Transit
0.0177874,0.101225,Transit
0.0176872,0.220101,Transit
0.0176872,0.0645018,Transit
0.0176845,0.108723,Transit
0.0176872,0.0903224,Transit
0.0176872,0.0763472,Transit
0.0176872,0.28916,Transit
0.0176679,0.0778907,Transit
0.0176872,0.196353,Transit
0.0176872,0.12007,Transit
0.0175728,0.120607,Transit
0.0175728,0.273799,Transit
0.0175824,0.14444,Transit
0.0175728,0.0527478,Transit
0.0174811,0.108599,Transit
0.0174594,0.0334052,Transit
0.0174811,0.0570224,Transit
0.0175432,0.0914762,Transit
0.0174594,0.136148,Transit
0.0174594,0.058171,Transit
0.0174951,0.0504277,RV
0.0174594,0.0826512,Transit
0.0174811,0.0988375,Transit
0.0173806,0.309155,Transit
0.0173806,0.196363,Transit
0.0173469,0.118345,Transit
0.0173469,0.119927,Transit
0.0173469,0.122297,Transit
0.0173469,0.116684,Transit
0.0173469,0.0383568,Transit
0.0173469,0.401332,Transit
0.0173469,0.125745,Transit
0.0172808,0.143477,Transit
0.0173469,0.0897541,Transit
0.0172355,0.394192,Transit
0.0172355,0.08295,Transit
0.0172355,0.0898835,Transit
0.0172355,0.169908,Transit
0.0171819,0.182449,Transit
0.0172355,0.121794,Transit
0.0172355,0.148265,Transit
0.0171819,0.0598621,Transit
0.0172355,0.238842,Transit
0.0172355,0.0668402,Transit
0.0171819,0.247015,Transit
0.0172355,0.0457701,Transit
0.0172355,0.0608391,Transit
0.0172355,0.376527,Transit
0.017125,0.0794218,Transit
0.017125,0.363618,Transit
0.017125,0.243384,Transit
0.017125,0.0525035,Transit
0.017125,0.186659,Transit
0.0170837,0.201514,Transit
0.017125,0.102343,Transit
0.0170837,0.124721,Transit
0.0170837,0.150603,Transit
0.017125,0.0970652,Transit
0.0173,2.72349,Microlensing
0.0170154,0.149206,Transit
0.0171819,0.100501,Transit
0.0169862,0.119932,Transit
0.0169862,0.117052,Transit
0.0172808,0.0726807,Transit
0.0168894,0.106526,Transit
0.0170154,0.633688,Transit
0.0172607,0.0750769,Transit
0.0170154,0.101697,Transit
0.0169862,0.23162,Transit
0.0170154,0.166753,Transit
0.0169649,0.0666108,RV
0.0171819,0.0759843,Transit
0.0169862,0.0964303,Transit
0.0167934,0.120683,Transit
0.0170154,0.17004,Transit
0.0170169,0.080381,Transit
0.0169862,0.11685,Transit
0.0171819,0.23273,Transit
0.0170154,0.129335,Transit
0.0170154,0.119888,Transit
0.016585,0.202122,Transit
0.0169068,0.126093,Transit
0.0168896,0.594654,Transit
0.0168894,0.27496,Transit
0.0169068,0.100994,Transit
0.0168894,0.111181,Transit
0.0168702,0.104565,Transit
0.0168894,0.256426,Transit
0.0167991,0.12255,Transit
0.0167991,0.318069,Transit
0.0167934,0.0600513,Transit
0.0168,0.0716678,RV
0.0167756,0.0729238,RV
0.0167991,0.093804,Transit
0.0167934,0.0719945,Transit
