#MASS,A,PLANETDISCMETH
#mjupiter,au,
2.43513,0.0323373,Transit
2.43024,2.06698,RV
2.43233,1.80264,RV
2.4209,1.02831,RV
2.36402,1.17816,RV
2.4,1.12966,RV
2.37727,1.19218,RV
2.37911,0.0479738,Transit
2.36493,4.60219,RV
2.34813,0.0440549,Transit
2.3408,0.838172,RV
2.33098,2.49004,RV
2.31346,0.0546221,Transit
2.3,4.43476,RV
2.29191,1.12292,RV
2.2924,2.41789,RV
2.28382,4.6069,RV
2.26929,0.0262601,Transit
2.24603,1.35778,RV
2.24797,1.2912,RV
2.242,0.0463361,Transit
2.24099,6.15467,Timing
2.24115,2.1121,RV
2.23603,0.0606258,Transit
2.20888,2.18639,RV
2.18029,0.0423182,Transit
2.20004,2.29553,RV
2.17684,0.0806644,Transit
2.17173,1.13327,RV
2.16904,0.0611921,Transit
2.16817,2.48556,RV
2.16279,0.0271372,Transit
2.15137,0.0414094,Transit
2.13797,0.080153,Transit
2.13623,0.0702997,RV
2.13331,0.0410282,Transit
2.12711,0.238855,RV
2.12353,1.32398,RV
2.11663,0.0506416,Transit
2.11299,0.358346,RV
2.10232,0.0244921,Transit
2.1,2.33538,RV
2.09606,0.0231971,Transit
2.08215,1.16537,RV
2.05491,0.0514489,Transit
2.04683,0.92376,RV
2.03,0.0457351,Transit
2.02633,5.13864,RV
2.01184,0.0314948,Transit
2.01385,0.300013,Transit
2.00901,0.947319,RV
1.98574,0.0538776,Transit
2.01,0.0278077,Transit
1.9935,1.29111,RV
1.99403,2.06593,RV
1.98809,1.31895,RV
1.98164,0.0176159,Transit
1.97931,0.723051,RV
1.97113,1.53703,RV
1.9747,2.71619,RV
1.96509,1.76349,RV
1.96,1.59543,RV
1.95154,0.0964692,Transit
1.9469,0.208098,RV
1.94873,1.64347,RV
1.9487,2.91927,RV
1.9422,4.83146,RV
1.925,0.089107,Transit
1.91855,0.830445,RV
1.91,0.0227178,Transit
1.90944,3.18072,RV
1.9075,1.64869,RV
1.9,0.804743,RV
1.8997,1.31659,RV
1.90043,0.0243585,Transit
1.9,1.36607,RV
1.90296,2.07238,RV
1.88907,5.34057,RV
1.89038,2.77628,RV
1.88059,0.0551807,Transit
1.88274,0.531449,RV
1.88123,5.14931,RV
1.86507,0.0444708,Transit
1.86902,0.0371348,RV
1.86351,1.85343,RV
1.85721,2.04004,RV
1.86459,1.17218,RV
1.84394,0.0320419,RV
1.83564,1.4118,RV
1.83923,0.0238229,Transit
1.83614,1.94413,RV
1.81548,0.65375,RV
1.8189,3.73753,RV
1.80603,0.757141,RV
1.79992,0.0692771,RV
1.7916,0.037964,Transit
1.79425,1.49788,RV
1.79148,3.26609,RV
1.79362,0.0446312,Transit
1.77912,0.53813,RV
1.7799,0.0221125,Transit
1.77609,0.0142363,Transit
1.7781,0.0245157,Transit
1.77342,0.291535,RV
1.76867,2.23776,RV
1.76545,1.6698,RV
1.76833,0.0285236,Transit
1.75571,3.57648,RV
1.75922,0.0745473,Transit
1.75921,0.0240531,Transit
1.74615,1.21472,RV
1.74552,1.5273,RV
1.74473,3.87172,RV
1.73529,0.0390586,Transit
1.72959,0.0437742,Transit
1.71662,1.1296,RV
1.70083,1.07698,RV
1.69892,0.0435463,Transit
1.68512,1.1851,RV
1.66194,1.06061,RV
1.64829,1.27266,RV
1.63997,1.66027,RV
1.63682,1.29371,RV
1.62423,0.0271923,Transit
1.62021,1.22755,RV
1.61483,2.30768,RV
1.60642,3.94498,RV
1.6121,1.66108,RV
1.60254,0.05524,Transit
1.58936,0.742283,RV
1.57419,4.24519,RV
1.56499,1.13482,RV
1.56347,0.807929,RV
1.56395,1.38103,RV
1.5591,3.55427,RV
1.54536,0.0334131,Transit
1.53512,3.97285,RV
1.52064,0.0549707,Transit
1.51728,1.9793,RV
1.51716,2.24032,RV
1.52093,0.490206,RV
1.51929,0.775866,RV
1.51375,1.48938,RV
1.49872,0.0655498,Transit
1.49595,0.0346186,RV
1.48708,0.894939,RV
1.49247,2.62431,RV
1.48791,0.0198682,Transit
1.4868,0.0316042,Transit
1.47736,0.826048,RV
1.48058,0.608531,RV
1.47655,0.0339907,Transit
1.47557,1.80168,RV
1.47244,0.0294714,Transit
1.46957,1.19018,RV
1.47372,1.98519,RV
1.46164,0.0412729,Transit
1.4572,1.08649,RV
1.45,0.381935,Transit
1.44975,4.94302,RV
1.44377,0.0417621,Transit
1.42633,0.887919,RV
1.42058,1.44284,RV
1.41789,0.458562,RV
1.41137,1.09038,RV
1.40771,0.036575,Transit
1.40112,0.0750282,RV
1.39736,1.05277,RV
1.40289,2.13423,RV
1.40487,2.31864,RV
1.39,0.0238308,Transit
1.37669,1.19471,RV
1.37181,0.0453232,Transit
1.371,0.47557,RV
1.37,0.0769686,Transit
1.3637,1.72685,RV
1.36063,0.0225329,Transit
1.34915,0.0229834,Transit
1.34632,3.13296,RV
1.34299,0.0366898,Transit
1.34144,0.130891,Transit
1.33442,0.689382,RV
1.32681,1.30567,RV
1.33254,2.34083,RV
1.33352,0.682908,RV
1.32811,0.0530508,RV
1.323,0.032693,Transit
1.32,0.0330527,Transit
1.31967,1.13872,RV
1.31099,0.051069,Transit
1.30747,0.0488209,Transit
1.30955,0.0555347,Transit
1.3131,2.33982,RV
1.3057,1.04292,RV
1.30477,1.58126,RV
1.29336,0.0449613,Transit
1.2902,1.03527,RV
1.28386,0.0300684,Transit
1.28,0.0441609,Transit
1.27518,0.545404,RV
1.27275,1.13105,RV
1.272,0.0291939,Transit
1.27137,0.0265195,Transit
1.2654,1.11234,RV
1.27,0.0432987,Transit
1.26045,0.953099,RV
1.26,0.0228946,Transit
1.25,0.0448251,Transit
1.23683,1.36067,Transit
1.23432,0.101359,Transit
1.22979,0.0319991,Transit
1.23035,0.0363001,Transit
1.22311,0.0230406,Transit
1.2223,0.328688,RV
1.21636,1.37427,RV
1.21302,0.0379591,RV
1.2147,2.51797,RV
1.2057,0.0491772,Transit
1.20071,0.0355765,Transit
1.19916,0.034546,Transit
1.19203,0.0372774,Transit
1.18891,2.09454,RV
1.18367,0.0254575,Transit
1.18,0.0303507,Transit
1.17965,1.30958,RV
1.17362,0.0379273,Transit
1.16502,1.03378,RV
1.1614,2.14768,RV
1.15251,0.0508651,Transit
1.15,2.0717,RV
1.1436,0.0309953,RV
1.14357,1.03886,RV
1.13834,0.0850402,Transit
1.14167,1.11312,RV
1.13339,0.0163152,Transit
1.13,0.110366,RV
1.13,0.0341288,Transit
1.12925,1.38575,RV
1.12341,0.0509676,Transit
1.11647,0.538316,RV
1.12,0.0185537,Transit
1.10792,0.0516604,Transit
1.10505,1.15987,RV
1.091,0.0365155,Transit
1.08979,0.0234308,Transit
1.08958,0.0269311,Transit
1.08667,0.555583,RV
1.07139,0.499878,RV
1.0682,0.0381546,Transit
1.0735,0.0485119,Transit
1.07,0.0375112,Transit
1.06828,3.0184,RV
1.068,0.0566534,RV
1.06409,0.225692,RV
1.06215,0.575123,RV
1.05957,0.0523738,Transit
1.05561,0.0407152,Transit
1.05422,0.0497734,Transit
1.05448,3.37558,RV
1.04309,0.0896052,RV
1.04234,0.0575315,Transit
1.0348,0.759258,RV
1.02979,0.0253191,Transit
1.02837,2.72021,RV
1.02109,0.0454854,Transit
1.0245,0.0513517,Transit
1.02004,0.477022,Timing
1.0212,1.23874,RV
1.01746,0.0399686,Transit
1.00657,0.0405459,Transit
1,0.0333991,Transit
1,0.491526,Transit
1,0.0280141,Transit
1,0.0373351,Transit
1,0.167447,Transit
1,0.0486188,Transit
1,0.185532,Transit
1,0.0464979,Transit
1,0.0427479,Transit
1,0.0657911,Transit
1,0.0483406,Transit
1,0.755004,Transit
1,0.117181,Transit
1,0.0261684,Transit
1,0.0342955,Transit
1,0.0517147,Transit
1,0.0406092,Transit
1,0.0542009,Transit
1,0.0413383,Transit
1,0.495205,Transit
1,0.0451413,Transit
1,0.0364828,Transit
1,0.0389008,Transit
1,0.380735,Transit
1,0.0485975,Transit
1,0.0457595,Transit
1,0.0654845,Transit
1,0.038671,Transit
1,0.0442246,Transit
1,0.220045,Transit
1,0.0522499,Transit
1,0.0438587,Transit
1,0.0374388,Transit
1,0.0812822,Transit
1,0.0359649,Transit
1,0.0282249,Transit
1,0.25272,Transit
1,0.223617,Transit
0.984236,0.034488,Transit
0.975461,0.158693,Transit
0.970915,0.0628192,Transit
0.96903,1.48605,RV
0.956204,3.03064,RV
0.957019,0.0621834,Transit
0.956901,4.21377,RV
0.954212,0.0765701,RV
0.951497,0.0810025,RV
0.945722,2.00121,RV
0.95,0.0370185,Transit
0.944758,2.10235,RV
0.940391,0.0295963,Transit
0.937417,0.996347,Transit
0.939101,0.0402101,Transit
0.938774,0.0316765,Transit
0.925037,2.02175,RV
0.925,0.0509243,Transit
0.921566,0.0329796,Transit
0.919279,0.0604573,Transit
0.923754,0.268407,Transit
0.918842,0.040253,Transit
0.91918,0.0401409,Transit
0.918,0.0385203,Transit
0.918464,0.049283,Transit
0.917,0.0588842,RV
0.912932,0.189841,RV
0.908659,0.0312729,Transit
0.907,0.0446486,Transit
0.902075,0.0439208,RV
0.898458,0.0426442,Transit
0.891379,0.0562022,Transit
0.889836,0.0347371,Transit
0.892,0.0452185,Transit
0.889203,0.0477869,Transit
0.887514,0.0534741,Transit
0.883997,0.0361391,Transit
0.880048,0.0906432,Transit
0.877536,0.0432172,Transit
0.875702,1.41961,RV
0.872226,0.037022,Transit
0.865,0.153755,RV
0.862662,0.905726,Transit
0.861516,0.0342627,Transit
0.859095,0.0696866,Transit
0.85708,0.0426946,Transit
0.85,0.0389589,Transit
0.846665,0.0461455,Transit
0.847612,2.12913,RV
0.843564,0.406991,Transit
0.842294,0.0417858,Transit
0.84,0.0948432,Transit
0.837,0.0304899,Transit
0.836882,0.034771,Transit
0.83,0.0356868,Transit
0.830886,2.35317,RV
0.824243,2.41241,RV
0.819064,0.0369523,Transit
0.819484,0.626938,RV
0.81948,0.0318973,Transit
0.80971,1.39638,RV
0.808359,0.0726449,Transit
0.807457,1.65355,RV
0.807031,1.00082,RV
0.807324,2.07477,RV
0.804926,5.82513,RV
0.804012,0.0348186,Transit
0.803263,0.1272,RV
0.801471,0.113377,RV
0.803694,2.02754,RV
0.800254,0.0425775,Transit
0.790506,2.06642,RV
0.786056,0.316151,RV
0.779004,0.0666842,Transit
0.776601,0.0528645,Transit
0.77158,0.0436462,Transit
0.770225,0.0436419,Transit
0.768857,0.359201,RV
0.768085,0.328074,RV
0.757277,0.0512842,Transit
0.76,0.0411908,Transit
0.763256,0.0499317,Transit
0.7621,0.176071,Transit
0.752484,0.0392516,Transit
0.748401,0.756964,RV
0.732711,1.87545,RV
0.73,1.02595,RV
0.730294,2.1118,RV
0.728964,0.0391001,Transit
0.727,2.30386,Microlensing
0.717098,0.0431283,Transit
0.717419,0.0903166,Transit
0.714594,0.192441,RV
0.711088,0.0419042,Transit
0.705734,0.0435518,Transit
0.696016,0.0714194,Transit
0.7,3.5161,RV
0.695276,0.056677,RV
0.696016,0.0481308,Transit
0.698769,0.189213,RV
0.69431,0.0771322,Transit
0.689646,0.047235,RV
0.68665,2.80658,RV
0.685857,0.0465021,Transit
0.68457,1.34724,RV
0.684002,3.56153,RV
0.682196,2.4447,RV
0.6803,0.0525079,Transit
0.675887,0.0386362,Transit
0.674371,0.533637,RV
0.671507,0.0443853,Transit
